,name,type,species,period,period_time,continent,lived_in,diet,length,size,taxonomy,link
95,Emausaurus,Armoured Dinosaur,Ernsti,Jurassic,Mid,Europe,Germany,Herbivorous,2.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora,https://www.nhm.ac.uk/discover/dino-directory/emausaurus.html
96,Eolambia,Euornithopod,Caroljonesa,Cretaceous,Late,North America,United States,Herbivorous,6.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/eolambia.html
97,Eoraptor,Small Theropod,Lunensis,Triassic,Late,South America,Argentina,Carnivorous,1.0,Short,Dinosauria Saurischia Theropoda,https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html
98,Eotyrannus,Large Theropod,Lengi,Cretaceous,Early,Europe,United Kingdom,Carnivorous,5.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,https://www.nhm.ac.uk/discover/dino-directory/eotyrannus.html
99,Equijubus,Euornithopod,Normani,Cretaceous,Early,Asia,China,Herbivorous,7.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/equijubus.html
100,Erketu,Sauropod,Ellisoni,Cretaceous,Early,Asia,Mongolia,Herbivorous,15.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/erketu.html
101,Erlikosaurus,Small Theropod,Andrewsi,Cretaceous,Late,Asia,Mongolia,Omnivorous,3.4,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,https://www.nhm.ac.uk/discover/dino-directory/erlikosaurus.html
102,Euhelopus,Sauropod,Zdanskyi,Jurassic,Late,Asia,China,Herbivorous,10.0,Medium,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,https://www.nhm.ac.uk/discover/dino-directory/euhelopus.html
103,Euoplocephalus,Armoured Dinosaur,,Cretaceous,Late,North America,United States,Herbivorous,7.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,https://www.nhm.ac.uk/discover/dino-directory/euoplocephalus.html
104,Europasaurus,Sauropod,Holgeri,Jurassic,Late,Europe,Germany,Herbivorous,6.2,Medium,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,https://www.nhm.ac.uk/discover/dino-directory/europasaurus.html
105,Eustreptospondylus,Large Theropod,Oxoniensis,Jurassic,Mid,Europe,United Kingdom,Carnivorous,7.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,https://www.nhm.ac.uk/discover/dino-directory/eustreptospondylus.html
106,Fukuiraptor,Large Theropod,Kitadaniensis,Cretaceous,Early,Asia,Japan,Carnivorous,4.2,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,https://www.nhm.ac.uk/discover/dino-directory/fukuiraptor.html
107,Fukuisaurus,Euornithopod,Tetoriensius,Cretaceous,Early,Asia,Japan,Herbivorous,4.7,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/fukuisaurus.html
108,Gallimimus,Large Theropod,Bullatus,Cretaceous,Late,Asia,Mongolia,Omnivorous,6.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html
109,Gargoyleosaurus,Armoured Dinosaur,Parkpinorum,Jurassic,Late,North America,United States,Herbivorous,4.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,https://www.nhm.ac.uk/discover/dino-directory/gargoyleosaurus.html
110,Garudimimus,Large Theropod,Brevipes,Cretaceous,Late,Asia,Mongolia,Omnivorous,4.7,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html
111,Gasosaurus,Small Theropod,Constructus,Jurassic,Mid,Asia,China,Carnivorous,4.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,https://www.nhm.ac.uk/discover/dino-directory/gasosaurus.html
112,Gasparinisaura,Euornithopod,Cincosaltensis,Cretaceous,Late,South America,Argentina,Herbivorous,0.8,Short,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html
113,Gastonia,Armoured Dinosaur,Burgei,Cretaceous,Early,North America,United States,Herbivorous,4.6,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,https://www.nhm.ac.uk/discover/dino-directory/gastonia.html
114,Giganotosaurus,Large Theropod,Carolinii,Cretaceous,Early,South America,Argentina,Carnivorous,12.5,Long,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html
115,Gilmoreosaurus,Euornithopod,Mongoliensis,Cretaceous,Late,Asia,China,Herbivorous,6.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html
116,Giraffatitan,Sauropod,Brancai,Jurassic,Late,Africa,Tanzania,Herbivorous,23.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,https://www.nhm.ac.uk/discover/dino-directory/giraffatitan.html
117,Gobisaurus,Armoured Dinosaur,Domoculus,Cretaceous,Early,Asia,China,Herbivorous,5.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,https://www.nhm.ac.uk/discover/dino-directory/gobisaurus.html
118,Gorgosaurus,Large Theropod,Libratus,Cretaceous,Late,North America,United States,Carnivorous,8.6,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,https://www.nhm.ac.uk/discover/dino-directory/gorgosaurus.html
119,Goyocephale,Large Theropod,Lattimorei,Cretaceous,Late,Asia,Mongolia,Herbivorous,2.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala,https://www.nhm.ac.uk/discover/dino-directory/goyocephale.html
