,name,type,species,period,period_time,continent,lived_in,diet,length,taxonomy,link
131,homalocephale,euornithopod,calathocercos,Cretaceous,Late,Asia,Mongolia,herbivorous,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea,https://www.nhm.ac.uk/discover/dino-directory/homalocephale.html
132,huayangosaurus,armoured dinosaur,taibaii,Jurassic,Mid,Asia,China,herbivorous,4.5m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Huayangosauridae,https://www.nhm.ac.uk/discover/dino-directory/huayangosaurus.html
133,hylaeosaurus,armoured dinosaur,armatus,Cretaceous,Early,Europe,United Kingdom,herbivorous,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,https://www.nhm.ac.uk/discover/dino-directory/hylaeosaurus.html
134,hypacrosaurus,euornithopod,altispinus,Cretaceous,Late,North America,United States,herbivorous,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/hypacrosaurus.html
135,hypsilophodon,euornithopod,foxii,Cretaceous,Early,Europe,United Kingdom,herbivorous,2.3m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Hypsilophodontidae,https://www.nhm.ac.uk/discover/dino-directory/hypsilophodon.html
136,iguanodon,euornithopod,bernissartensis,Cretaceous,Early,Europe,United Kingdom,herbivorous,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/iguanodon.html
137,indosuchus,large theropod,raptorius,Cretaceous,Late,Asia,India,carnivorous,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,https://www.nhm.ac.uk/discover/dino-directory/indosuchus.html
138,irritator,large theropod,challengeri,Cretaceous,Early,South America,Brazil,carnivorous,6.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,https://www.nhm.ac.uk/discover/dino-directory/irritator.html
139,isisaurus,sauropod,colberti,Cretaceous,Late,Asia,India,herbivorous,,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/isisaurus.html
140,janenschia,sauropod,robusta,Jurassic,Late,Africa,Tanzania,herbivorous,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/janenschia.html
141,jaxartosaurus,euornithopod,aralensis,Cretaceous,Late,Asia,Kazakhstan,herbivorous,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/jaxartosaurus.html
142,jingshanosaurus,sauropod,xinwaensis,Jurassic,Early,Asia,China,herbivorous,5.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,https://www.nhm.ac.uk/discover/dino-directory/jingshanosaurus.html
143,jinzhousaurus,euornithopod,yangi,Cretaceous,Early,Asia,China,herbivorous,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/jinzhousaurus.html
144,jobaria,sauropod,tiguidensis,Cretaceous,Early,Africa,Niger,herbivorous,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,https://www.nhm.ac.uk/discover/dino-directory/jobaria.html
145,juravenator,small theropod,starki,Jurassic,Late,Europe,Germany,carnivorous,0.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,https://www.nhm.ac.uk/discover/dino-directory/juravenator.html
146,kentrosaurus,armoured dinosaur,aethiopicus,Jurassic,Late,Africa,Tanzania,herbivorous,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html
147,khaan,small theropod,mckennai,Cretaceous,Late,Asia,Mongolia,omnivorous,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,https://www.nhm.ac.uk/discover/dino-directory/khaan.html
148,kotasaurus,sauropod,yamanpalliensis,Jurassic,Early,Asia,India,herbivorous,9.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,https://www.nhm.ac.uk/discover/dino-directory/kotasaurus.html
149,kritosaurus,euornithopod,navajovius,Cretaceous,Late,North America,United States,herbivorous,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/kritosaurus.html
150,lambeosaurus,euornithopod,lambei,Cretaceous,Late,North America,Canada,herbivorous,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html
151,lapparentosaurus,sauropod,madagascariensis,Jurassic,Mid,Africa,Madagascar,herbivorous,,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,https://www.nhm.ac.uk/discover/dino-directory/lapparentosaurus.html
152,leaellynasaura,euornithopod,amicagraphica,Cretaceous,Early,Oceania,Australia,herbivorous,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/leaellynasaura.html
153,leptoceratops,ceratopsian,gracilis,Cretaceous,Late,North America,United States,herbivorous,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,https://www.nhm.ac.uk/discover/dino-directory/leptoceratops.html
154,lesothosaurus,1.0m,diagnosticus,Jurassic,Early,Africa,Lesotho,herbivorous,,Dinosauria Ornithischia,https://www.nhm.ac.uk/discover/dino-directory/lesothosaurus.html
155,liaoceratops,ceratopsian,yanzigouensis,Cretaceous,Early,Asia,China,herbivorous,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,https://www.nhm.ac.uk/discover/dino-directory/liaoceratops.html
156,ligabuesaurus,sauropod,leanzai,Cretaceous,Early,South America,Argentina,herbivorous,24.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/ligabuesaurus.html
157,liliensternus,small theropod,liliensterni,Triassic,Late,Europe,Germany,carnivorous,5.0m,Dinosauria Saurischia Theropoda Neotheropoda,https://www.nhm.ac.uk/discover/dino-directory/liliensternus.html
158,lophorhothon,euornithopod,atopus,Cretaceous,Late,North America,United States,herbivorous,4.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/lophorhothon.html
159,lophostropheus,large theropod,airelensis,Jurassic,Early,Europe,France,carnivorous,6.2m,Dinosauria Saurischia,https://www.nhm.ac.uk/discover/dino-directory/lophostropheus.html
160,lufengosaurus,sauropod,huenei,Jurassic,Early,Asia,China,herbivorous,6.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,https://www.nhm.ac.uk/discover/dino-directory/lufengosaurus.html
