,name,type,species,period,period_time,continent,lived_in,diet,length,taxonomy,link
293,urbacodon,small theropod,itemirensis,Cretaceous,Late,Asia,Uzbekistan,carnivorous,1.0m,Dinosauria Saurischia,https://www.nhm.ac.uk/discover/dino-directory/urbacodon.html
294,utahraptor,large theropod,ostrommaysorum,Cretaceous,Early,North America,United States,carnivorous,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/utahraptor.html
295,valdosaurus,euornithopod,canaliculatus,Cretaceous,Early,Europe,United Kingdom,herbivorous,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,https://www.nhm.ac.uk/discover/dino-directory/valdosaurus.html
296,velociraptor,small theropod,mongoliensis,Cretaceous,Late,Asia,Mongolia,carnivorous,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/velociraptor.html
297,vulcanodon,sauropod,karibaensis,Jurassic,Early,Africa,Zimbabwe,herbivorous,6.5m,Dinosauria Saurischia Sauropodomorpha Sauropoda Vulcanodontidae,https://www.nhm.ac.uk/discover/dino-directory/vulcanodon.html
298,yandusaurus,euornithopod,hongheensis,Jurassic,Mid,Asia,China,herbivorous,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/yandusaurus.html
299,yangchuanosaurus,large theropod,shangyouensis,Jurassic,Late,Asia,China,carnivorous,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,https://www.nhm.ac.uk/discover/dino-directory/yangchuanosaurus.html
300,yimenosaurus,sauropod,youngi,Jurassic,Early,Asia,China,herbivorous,9.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda,https://www.nhm.ac.uk/discover/dino-directory/yimenosaurus.html
301,yingshanosaurus,armoured dinosaur,jichuanensis,Jurassic,Late,Asia,China,herbivorous,,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria,https://www.nhm.ac.uk/discover/dino-directory/yingshanosaurus.html
302,yinlong,ceratopsian,downsi,Jurassic,Mid,Asia,China,herbivorous,1.2m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia,https://www.nhm.ac.uk/discover/dino-directory/yinlong.html
303,yuanmousaurus,sauropod,jiangyiensis,Jurassic,Mid,Asia,China,herbivorous,17.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,https://www.nhm.ac.uk/discover/dino-directory/yuanmousaurus.html
304,yunnanosaurus,sauropod,huangi,Jurassic,Early,Asia,China,omnivorous,7.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,https://www.nhm.ac.uk/discover/dino-directory/yunnanosaurus.html
305,zalmoxes,euornithopod,robustus,Cretaceous,Late,Europe,Romania,herbivorous,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,https://www.nhm.ac.uk/discover/dino-directory/zalmoxes.html
306,zephyrosaurus,euornithopod,schaffi,Cretaceous,Early,North America,United States,herbivorous,1.8m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/zephyrosaurus.html
307,zuniceratops,ceratopsian,christopheri,Cretaceous,Late,North America,United States,herbivorous,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,https://www.nhm.ac.uk/discover/dino-directory/zuniceratops.html
